Код;Артикул;Номенклатура;Остаток;Цена
032257;М-1169;Сушилка для посуды БОЛЬШАЯ белый /14/;1;234.93
033878;М-1169;Сушилка для посуды БОЛЬШАЯ голубой /14/;27;234.93
000072;М-2506;Таз круг 10л.голубой с ручк /30;13;99.42
008556;М-2506;Таз круг 10л.желтый с ручк /30;13;99.42
000293;М-2506;Таз круг 10л.мрамор с ручк /30;5;97.76
000073;М-2507;Таз круг 16л.голубой с ручк /20;5;138.92
000295;М-2507;Таз круг 16л.мрамор с ручк /20;10;138.92
022964;М-2508;Таз круг 24л.желтый с ручк /5/;3;218.42
000571;М-2505;Таз круг 6,5л.голубой с ручк /35/;19;63.07
008570;М-2505;Таз круг 6,5л.желтый с ручк /35;7;62.03
000071;М-2505;Таз круг 6,5л.красный с ручк /35;5;62.03
000291;М-2505;Таз круг 6,5л.мрамор с ручк /35;22;62.03
028860;М-2544;Таз овал 10л.мраморный/10/;5;105.27
025479;М-1202;Форма для печенья/24/;11;58.84
022968;М-5205-Д;Щетка для мытья бутылочек и сосок DISNEY/27/;10;43.46
019831;М-5101;Щетка для уборки мусора Стардарт черный /12/;2;68.24
033869;М-2730;Этажерка для овощей (3 секции) фисташковый/4/;2;446.58
020618;М-2598;Ящик для игрушек МОБИ бирюза /3/;1;719.90
020788;М-2598;Ящик для игрушек МОБИ малиновый /3/;3;719.90
020619;М-2598;Ящик для игрушек МОБИ оранж. /3/;4;719.90
024769;М-2597;Ящик для игрушек СЕКРЕТ бирюза/6/;2;581.60
009807;М-2933;Ящик для инструментов Титан 21 желтый с черным/6/;3;875.19
009808;М-2937;Ящик для инструментов Титан 21(с секциями) желтый с черным/6/;5;973.48
013588;С329;Бак 24л Гроссо 24л /4/;15;299.99
011338;С330;Бак 38л Гроссо /5/;22;456.00
013589;С331;Бак 58л Гроссо/4/;22;616.09
031113;С285-01-00-к;Банка Тондо0,65 с крышк. /20/;15;25.60
021815;С925;Бидон Просперо 3л. белый /16/;4;90.27
022348;С925;Бидон Просперо 3л. зеленый /16/;11;90.26
022349;С925;Бидон Просперо 3л. оранжевый /16/;29;90.27
021215;С925;Бидон Просперо 3л. фиолетовый /16/;10;90.26
021216;С926;Бидон Просперо 5л. белый /16/;10;119.26
021816;С926;Бидон Просперо 5л. зеленый /16/;10;119.25
021217;С926;Бидон Просперо 5л. оранжевый /16/;3;119.26
021218;С926;Бидон Просперо 5л. фиолетовый /16/;12;119.26
021219;С927;Бидон Просперо 8л. белый /6/;5;153.20
021727;С927;Бидон Просперо 8л. зеленый /6/;10;153.20
021220;С927;Бидон Просперо 8л. оранжевый /6/;6;153.20
021221;С927;Бидон Просперо 8л. фиолетовый /6/;6;153.20
000501;С134м;Вазон высокий Колывань 3 л. д. 22 см. МРАМОР /14/;10;67.39
000502;С134т;Вазон высокий Колывань 3 л. д. 22 см. терракот /14/;17;67.39
000503;С135м;Вазон высокий Колывань 5.6 л. д. 26 см. МРАМОР/12/;7;96.67
000504;С135т;Вазон Высокий Колывань 5.6 л. д.26см. терракот/12/;7;96.67
001215;С136м;Вазон высокий Колывань 8.1 л. д. 30 см. МРАМОР /7/;10;129.06
000512;С145м;Вазон низкий Колывань 3.4 л. д. 26см. МРАМОР/14;12;83.49
000513;С145т;Вазон низкий Колывань 3.4 л. д. 26см. терракот/14/;10;83.49
000514;С146м;Вазон низкий Колывань 5.3 л. д. 30см. МРАМОР/7/;9;106.95
011339;С804;Ваннадетская Бамбино белая/6/;11;372.24
020241;С804;Ваннадетская Бамбино голубая /6/;20;372.24
020242;С804;Ваннадетская Бамбино розовая /6/;15;372.24
020956;С406;Ведро - туалет Адис сл. кость /6/;14;253.26
020957;С406;Ведро - туалет Адис терракот /6/;47;253.26
021817;С604;Ведро 10л Либерти голубой /14/;14;87.46
021818;С604;Ведро 10л Либерти красный /14/;20;87.46
020959;С604сК;Ведро 10л Либерти с крышкой голубой /12/;27;120.04
020960;С604сК;Ведро 10л Либерти с крышкой красный /12/;24;120.04
020962;С604сК;Ведро 10л Либерти с крышкой салатовый /12/;12;120.04
021820;С604;Ведро 10л Либерти салатовый /14/;21;87.46
020964;С633;Ведро 10л Соло перл. красный /17/;17;86.98
020965;С633;Ведро 10л Соло перл. оранжевый /17/;28;86.98
020966;С633;Ведро 10л Соло перл. синий/17/;79;86.98
021098;С633сК;Ведро 10л Соло с крышкой красное /12/;51;119.06
021099;С633сК;Ведро 10л Соло с крышкой оранжевое /12/;24;119.06
021100;С633сК;Ведро 10л Соло с крышкой синее /12/;11;119.06
017519;С462;Ведро 10л Соло хоз./17/;16;66.72
017515;С647;Ведро 12л Престо овальное со сливом /14/;10;116.06
021821;С605;Ведро 14л Либерти голубой /15/;21;122.95
021822;С605;Ведро 14л Либерти красный /15/;3;122.95
021079;С605сК;Ведро 14л Либерти с крышкой голубое /11/;21;166.78
021080;С605сК;Ведро 14л Либерти с крышкой красное/11/;12;166.78
021082;С605сК;Ведро 14л Либерти с крышкой салатовое /11/;20;166.78
021824;С605;Ведро 14л Либерти салатовый /15/;24;122.95
021857;С601;Ведро 3л Либерти голубой/19/;59;44.02
022350;С601;Ведро 3л Либерти красный/19/;47;44.02
021906;С601сК;Ведро 3л Либерти с крышкой голубой /13/;14;63.80
021858;С601сК;Ведро 3л Либерти с крышкой красный/13/;15;63.80
022754;С601сК;Ведро 3л Либерти с крышкой салатовое /13/;28;63.80
021863;С601;Ведро 3л Либерти салатовое/19/;51;44.02
021874;С630;Ведро 3л Соло перл. красный /19/;6;43.63
021599;С630;Ведро 3л Соло перл. оранжевый /19/;15;43.63
021600;С630;Ведро 3л Соло перл. синий /19/;1;43.63
021825;С630сК;Ведро 3л Соло с крышкой красный /13/;10;62.92
021826;С630сК;Ведро 3л Соло с крышкой оранжевый /13/;12;62.92
021827;С630сК;Ведро 3л Соло с крышкой синий /13/;9;62.92
021084;С402;Ведро 5л Колор перлам.красное /20/;23;62.16
021085;С402;Ведро 5л Колор перлам.оранжевое /20/;7;62.16
021086;С402;Ведро 5л Колор перлам.синее /20/;25;62.16
021866;С402сК;Ведро 5л Колор с крышкой красное /17/;17;87.65
021867;С402сК;Ведро 5л Колор с крышкой оранжевое /17/;12;87.65
021868;С402сК;Ведро 5л Колор с крышкой синее /17/;8;87.65
022578;С602;Ведро 5л Либерти голубой /20/;37;59.04
021601;С602;Ведро 5л Либерти красный /20/;36;59.04
021602;С602сК;Ведро 5л Либерти с крышкой голубой /15/;12;83.49
021728;С602сК;Ведро 5л Либерти с крышкой красное /15/;7;83.49
021730;С602сК;Ведро 5л Либерти с крышкой салатовое /15/;24;83.49
021088;С631;Ведро 5л Соло перлам.красное /20/;32;57.88
021856;С631;Ведро 5л Соло перлам.оранжевый /20/;90;57.88
021604;С631сК;Ведро 5л Соло с крышкой перл. красный /15/;35;82.90
021605;С631сК;Ведро 5л Соло с крышкой перл. оранжевый /15/;55;82.90
021859;С631сК;Ведро 5л Соло с крышкой перл. синее /15/;29;82.90
021908;С603;Ведро 7л Либерти голубое /20/;17;71.85
021870;С603;Ведро 7л Либерти красное /20/;35;71.85
021090;С603сК;Ведро 7л Либерти с крышкой голубое /16/;46;95.52
021091;С603сК;Ведро 7л Либерти с крышкой красное /16/;25;95.52
021093;С603сК;Ведро 7л Либерти с крышкой салатовое /16/;32;95.52
021871;С603;Ведро 7л Либерти салатовое /20/;28;71.85
020968;С632;Ведро 7л Соло перл. красный /20/;55;71.16
020969;С632;Ведро 7л Соло перл. оранжевый /20/;31;71.16
020970;С632;Ведро 7л Соло перл. синий /20/;25;71.16
021095;С632сК;Ведро 7л Соло с крышкой красное /14/;13;94.54
021096;С632сК;Ведро 7л Соло с крышкой оранжевое /14/;14;94.54
021097;С632сК;Ведро 7л Соло с крышкой синее /14/;34;94.54
017521;С461;Ведро 7л Соло хоз./20/;18;54.58
017516;С646;Ведро с отжимом 12л Престо овальное /8/;70;164.64
003654;С510Н;Вешалка (2 шт) 48-50 р. для сорочек /24/;33;40.63
011334;С518;Вешалка 44-46 р. для верхней одежды/66/;153;17.65
007193;С510;Вешалка 48-50 для сорочек /50/;105;21.52
007194;С512;Вешалка 48-50 р. с накладками/30/;30;30.64
007192;С511;Вешалка 48-50 р.(юбка,брюки) /35/;49;30.64
016656;С519;Вешалка 48-50 р.для верхней одежды /60/;215;19.29
011335;С520;Вешалка 52-54 р. для верхней одежды /57/;149;21.62
021265;С246;Воронка Ультимо Д75 /120/;48;9.51
017527;С248;Воронка УльтимоД115./81/;66;13.09
017528;С249;Воронка УльтимоД140./60/;58;16.48
017529;С250;Воронка УльтимоД175./54/;29;29.38
002794;С190к;ГоршокЭдельвейс с поддоном 0,65л. д.12 см.кол/36/;48;23.07
002797;С190т;ГоршокЭдельвейс с поддоном 0,65л. д.12 см.тер/36/;42;23.07
002796;С190м;ГоршокЭдельвейс с поддоном 0.65л. д12см.мрамор /36/;34;23.07
002795;С191к;ГоршокЭдельвейс с поддоном 1,5л. д.16 см.кол/20/;19;35.39
002798;С191м;ГоршокЭдельвейс с поддоном 1.5л. д.16 см.мрамор/20/;3;35.39
002801;С192к;ГоршокЭдельвейс с поддоном 3 л. д.20 см.колор/25/;27;50.80
